Year,Company,Country,ICB3 long,R&D (€million),R&D one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Net sales (€million),Net sales one-year growth (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%)
2024,EPENDION AB,Sweden,Electronic & Electrical Equipment,35.183698403002,13.4724825641285,17.8541931912538,3.48477179509556,50.4483460176326,1.76836977580958,1009.64139036362,197.061261890217,-8.60187635060798,21.5297146347849,-24.5376686140763,10.9253916412953,246.161761991653,-22.4001462782368,861.0,-0.920598388952819
2024,WITHSECURE OYJ,Finland,Software & Computer Services,35.161,-19.6209765910753,23.8610992351907,5.929,14.9253731343284,4.02356182604152,593.034238488784,147.357,3.18250567179228,-41.29,-9.85897044055364,-28.0203858656189,133.306750545,-26.930500064591,731.0,-32.7506899724011
2024,INDUTRADE AB,Sweden,Electronic & Electrical Equipment,33.0744393053495,3.2697547683925,1.16457718780728,42.3248101928615,-6.55105973025046,1.49029006882989,78.1443298969072,2840.03839776595,2.22710852834922,352.47403787416,-2.76841598459325,12.410889872173,8806.86252043321,5.80634806156265,9563.0,2.8169014084507
2024,HMS NETWORKS AB,Sweden,Technology Hardware & Equipment,29.6870582075225,3.66217097444606,11.1201113501732,3.43633824941094,3.40327197289967,1.2871758361233,863.915483657975,266.967274631294,1.13921288582066,47.7701370102103,-28.4196293603511,17.8936302496945,1904.91348494326,-6.26640132611344,1139.0,31.5242494226328
2024,QT GROUP OYJ,Finland,Software & Computer Services,29.487,31.679542714241,14.1043608864314,1.255,55.5142503097893,0.600297517973051,2349.56175298805,209.063,15.6686566008089,63.169,33.4114764831359,30.2152939544539,1711.598101471,4.1860417802153,834.0,13.9344262295082
2024,SMART EYE AB,Sweden,Software & Computer Services,28.7627192599703,3.25628606695505,98.3712830063663,0.172440876167205,-75.2008032128514,0.589764482210066,16679.7570850202,29.2389388253774,10.8578480840941,-21.8452744567589,-11.5152950491687,-74.7129524338233,197.909834102423,-27.4304714857183,289.0,2.4822695035461
2024,BASLER AG,Germany,Electronic & Electrical Equipment,27.997,-11.6618811724987,15.2393653212857,1.401,-27.1071800208117,0.76259423563672,1998.35831548894,183.715,-9.54589543236683,-10.575,-54.3492337578243,-5.75619845957053,187.424993992,-47.2517734918796,940.0,-15.695067264574
2024,FABASOFT AG,Austria,Software & Computer Services,26.653,6.63332666533306,30.6903103229892,16.495,23.7248724872487,18.9936093039323,161.582297665959,86.845,7.28227300802964,12.425,-3.8312693498452,14.3070988542806,165.0,-18.3168347681231,498.0,3.3195020746888
2024,MENSCH UND MASCHINE SOFTWARE SE,Germany,Software & Computer Services,26.005,4.40420748353942,7.98081290433459,10.3,60.2364654635968,3.16102183867127,252.47572815534,325.844,1.09771459420551,45.767,-2.27199931669193,14.0456783000454,907.184876967,-2.75735286383592,1095.0,3.69318181818182
2024,INIT INNOVATION IN TRAFFIC SYSTEMS SE,Germany,Electronic & Electrical Equipment,25.172,26.0869565217391,9.47476983069476,6.628,62.133072407045,2.49478684402689,379.78273989137,265.674,26.0307114292627,23.198,18.4296508066163,8.73175395409412,357.42398468,21.0884317551857,1361.0,19.3859649122807
2024,SNP SCHNEIDER-NEUREITHER & PARTNER SE,Germany,Software & Computer Services,25.038,8.43185656749382,9.82764914374085,1.438,68.9776733254994,0.564428447507762,1741.16828929068,254.771,25.2401364623991,27.77,91.0166460310909,10.8999846921353,450.53258,45.5847202351198,1442.0,9.65779467680608
2024,ATOS SE,France,Software & Computer Services,25.0,-40.4761904761905,0.261042079983293,444.0,116.585365853659,4.63610734050329,5.63063063063063,9577.0,-10.4367343121668,-2659.0,-14.3915003219575,-27.7644356270231,465.493547072,-40.7503030334936,87128.0,-8.42127391212949
2024,ATOSS SOFTWARE SE,Germany,Software & Computer Services,24.473214,8.59138333377113,14.3432380282643,0.925008,-50.577305508686,0.542127810513516,2645.72998287582,170.625447,12.8493046377996,63.620023,22.7428723546552,37.2863626842249,1797.408736,7.87589498806683,808.0,8.16599732262383
2024,KAPSCH TRAFFICCOM AG,Austria,Electronic & Electrical Equipment,24.349,8.48779183746213,4.59141748198206,6.162347,7.34717085059567,1.1620151852577,395.125428671901,530.315531,-1.58238876906778,4.669747,-93.1405725884545,0.880560105640202,102.387997818,-15.764707677499,3548.0,-12.1782178217822
2024,ASSECO POLAND S.A.,Poland,Software & Computer Services,24.3040935672515,-9.88725065047678,0.606467429371936,83.953216374269,4.91084478222742,2.09491010973617,28.9495681248259,4007.48538011696,1.39377977687699,420.421052631579,11.095314624799,10.4908942330142,1874.00274684035,32.0411495027382,33752.0,2.08698808299558
2024,ALFEN N.V.,Netherlands,Electronic & Electrical Equipment,23.054,8.5456000753331,4.727638866958,13.795,-42.5016672224075,2.82891377503625,167.118521203335,487.643,-3.33692120750797,-30.496,-172.854105449246,-6.25375530869919,261.652494192,-80.0431320892884,1043.0,10.7218683651805
2024,UNIFIEDPOST GROUP SA/NV,Belgium,Software & Computer Services,22.935,-9.20786983888207,25.9425158641284,0.247,-66.5764546684709,0.279389641091769,9285.42510121457,88.407,-53.8067246649424,-21.063,-67.849129180468,-23.8250364790118,117.707346013,27.3526338672773,833.0,-38.112927191679
2024,R. STAHL AKTIENGESELLSCHAFT,Germany,Electronic & Electrical Equipment,22.66,-3.60318203088442,6.58437648918489,7.614,11.1208406304728,2.21242023780467,297.609666403993,344.148,4.10934040004356,16.409,-20.2362434376823,4.76800678777735,104.328004913,-19.8019794501635,1852.0,3.00333704115684
2024,ATEME,France,Software & Computer Services,21.503,-4.40561927625144,22.9981069316249,1.746,-15.5705996131528,1.86739965133317,1231.5578465063,93.499,-6.5309101087652,-3.93,63.477537437604,-4.20325351073274,62.502576017,-22.3420043107878,548.0,-5.19031141868512
2024,EKINOPS,France,Technology Hardware & Equipment,21.345,19.9831365935919,18.1398669148204,2.802,-38.3226942548976,2.38125589577544,761.777301927195,117.669,-8.85225837935817,5.363,47.578425976885,4.55769998895206,100.417863052,-35.6945279033557,520.0,-5.62613430127042
