provider_name,provided_name,share_provided,year
DEU,Photomask inspection and repair tools,11.0,2024
DEU,Assembly inspection tools,2.2,2024
DEU,Bonding tools,2.0,2024
DEU,Die attaching tools,0.3,2024
DEU,Wire bonding tools,5.3,2024
DEU,Other interconnect tools,2.2,2024
DEU,Handlers and probers,0.0,2024
DI,Test tools,1.2,2024
DI,Burn-in test tools,32.8,2024
DIAS Automation,Automatic wedge bonders,1.0,2024
Daifuku,Wafer handlers,53.1,2024
Daifuku,Photomask handlers,5.9,2024
Daifuku,Wafer and photomask handlers,51.1,2024
Disco,Dicing tools,86.4,2024
Disco,Crystal machining tools,68.0,2024
E&R Engineering,Other interconnect tools,1.1,2024
EBARA,Fabrication tools (for advanced packaging),1.3,2024
EBARA,ECP tools (adv. pkg.),2.9,2024
EBARA,CMP tools (adv. pkg.),11.5,2024
EBARA,Deposition tools (adv. pkg.),1.2,2024
EBARA,CMP tools,27.8,2024
EDA Industries,Burn-in test tools,1.3,2024
ELES Semiconductor Equipment,Burn-in test tools,4.2,2024
EO Technics,Packaging tools,6.2,2024
EV Group,Wafer bonding and aligning tools,55.6,2024
EV Group,Imprint lithography,87.5,2024
EV Group,Fabrication tools (for advanced packaging),4.9,2024
EV Group,Mask aligners,4.3,2024
Eugene Technology,Low-pressure CVD tools,7.5,2024
Eugene Technology,Atomic layer deposition tools,1.2,2024
Eugene Technology,Chemical vapor deposition tools,1.5,2024
Evatec,PVD tools (adv. pkg.),1.8,2024
Evatec,Other deposition tools (non-IC),6.8,2024
F&K Delvotec,Manual wire bonders,92.5,2024
F&K Delvotec,Wire bonding tools,1.4,2024
FRA,Fabrication tools (for advanced packaging),0.2,2024
FRA,Other deposition tools (non-IC),1.3,2024
FRA,Deposition tools,0.1,2024
FRA,Process control tools,0.0,2024
FRA,Inspection tools (adv. pkg.),1.3,2024
FRA,"Film, stack, and shape metrology tools",0.0,2024
Fasford Tech,Die attaching tools for IC,5.2,2024
Fasford Tech,Bonding tools,2.5,2024
Fasford Tech,Die attaching tools,4.2,2024
FormFactor,Handlers and probers,5.6,2024
GBR,Dry etch tools,0.1,2024
GBR,Fabrication tools (for advanced packaging),0.1,2024
GBR,CVD tools (adv. pkg.),1.2,2024
GBR,Deposition tools (adv. pkg.),0.2,2024
GBR,Other deposition tools (non-IC),0.0,2024
GBR,Deposition tools,0.1,2024
