Year,World rank,EU rank,Company,Country,ISO3 Code,ICB3 short,ICB3 long,R&D (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%)
2024,1427.0,223,VALMET OYJ,Finland,FIN,Industrials,Industrial Engineering,117.0,7.3394495412844,5359.0,-3.12725958062184,2.18324314237731,107.0,-14.4,1.99664116439634,109.345794392523,458.0,-8.03212851405623,8.54637059152827,4305.075670572,-10.6472639665164,19310.0,0.782881002087683
2024,1446.0,224,COLOPLAST A/S,Denmark,DNK,Health industries,Health Care Equipment & Services,115.44959639572,4.36363636363621,3624.39325270187,10.3265306122449,3.18534961154273,156.346375606747,14.3137254901958,4.31372549019607,73.8421955403089,981.522701064657,8.10810810810808,27.0810210876803,24668.1285237861,17.1360445119128,16202.0,3.25006372673974
2024,1465.0,225,VANTIVA SA,France,FRA,Others,Media,113.0,43.0379746835443,2549.0,22.8433734939759,4.43311102393095,12.0,-62.5,0.470772852098862,941.666666666667,-53.0,-60.4477611940298,-2.07924676343664,59.895163991,44.5314882512835,4397.0,1.59426987060998
2024,1466.0,226,VIVENDI SE,France,FRA,Others,Media,113.0,-11.0236220472441,17926.0,70.5613701236917,0.630369295994645,3.0,-99.2592592592593,0.0167354680352561,3766.66666666667,801.0,-8.87372013651877,4.46836996541337,2649.979288479,-73.4084327245133,2673.0,-96.3362482524192
2024,1486.0,227,SCHOTT AG,Germany,DEU,Construction & Materials,Construction & Materials,111.528,3.53509097660602,2836.286,-1.25892618421638,3.93218455402593,389.734,-5.77418239579128,13.7409979106479,28.6164409571657,403.512,-0.638749489049656,14.226774027725,,,16698.0,-0.476814876624151
2024,1488.0,228,HEIDELBERGER DRUCKMASCHINEN AG,Germany,DEU,Industrials,Industrial Engineering,111.0,-1.76991150442478,2280.0,-4.80167014613779,4.86842105263158,88.0,35.3846153846154,3.85964912280702,126.136363636364,54.0,-36.4705882352941,2.36842105263158,341.016764812,8.31721106549923,9722.0,-2.85771382893685
2024,1492.0,229,BAVARIAN NORDIC A/S,Denmark,DNK,Health industries,Pharmaceuticals & Biotechnology,110.605004156722,-54.0396847684126,766.473490841803,-19.0607362432282,14.4303756722554,11.0838316929926,-42.0024557095246,1.44608154429704,997.895016997132,126.01169245622,-37.4545352899326,16.4404501867147,2011.52378814579,8.48333121890618,1611.0,16.8237853517041
2024,1504.0,230,DIASORIN S.P.A.,Italy,ITA,Health industries,Pharmaceuticals & Biotechnology,109.294,-16.1128892368387,1185.427,3.24130603286854,9.21980012265622,52.124,14.6439097347468,4.39706536125801,209.680761261607,258.325,15.0176316586226,21.7917256819694,2341.619980299,6.77820660618364,3271.0,1.17537890504176
2024,1506.0,231,LUOSSAVAARA-KIIRUNAVAARA AB,Sweden,SWE,Industrials,Mining,109.171830002618,-17.2619047619046,2892.57352299503,-22.7779978100317,3.77421106619199,471.943450562876,-0.624770305035029,16.3156942014119,23.1323964497042,747.011082991535,-47.1963481586577,25.8251372714656,,,4707.0,1.44396551724138
2024,1508.0,232,HENSOLDT AG,Germany,DEU,Aerospace & Defence,Aerospace & Defence,109.0,18.4782608695652,2240.0,21.2777476989713,4.86607142857143,119.0,3.47826086956522,5.3125,91.5966386554622,185.0,17.8343949044586,8.25892857142857,4003.229982376,42.9867994005111,8409.0,25.7138585737778
